team,player_name,position,draft_ovr,height,weight,college,age,seasons_played,rush_attempts,rushing_yards,touches,total_yards,total_tds,run_td,fantasy_points_ppr,position_fantasy_rank,total_fantasy_rank,pass_attempts,complete_pass,incomplete_pass,passing_yards,passing_air_yards,interception,pass_td
BUF,Josh Allen,QB,7,77,237,Wyoming,28,5,90,510,618,4172,32,9,374.48,1,1,522,322,150,3537,3817,11,25
DAL,Dak Prescott,QB,135,74,238,Mississippi State,31,7,42,244,652,4211,30,4,368.36,2,3,611,391,161,3949,4334,6,29
PHI,Jalen Hurts,QB,53,73,223,Oklahoma,26,3,110,602,621,3722,29,11,357.16,3,5,501,303,143,3174,3520,8,20
MIA,Tua Tagovailoa,QB,5,73,225,Alabama,26,3,27,86,569,3992,31,1,328.64,4,7,543,343,140,3901,3976,11,30
SF,Brock Purdy,QB,262,73,220,Iowa State,25,1,30,153,531,4038,29,2,321.7,5,9,490,316,123,3860,3739,8,26
DET,Jared Goff,QB,1,76,217,California,30,7,18,61,642,4209,28,2,321.02,6,10,619,393,175,4123,4246,9,26
BAL,Lamar Jackson,QB,32,74,205,Louisville,27,5,138,722,569,3538,21,5,320.88,7,11,434,263,122,2867,3276,5,19
GB,Jordan Love,QB,26,76,219,Utah State,26,3,33,227,546,3500,25,3,296.62,8,13,512,318,152,3298,3624,7,23
KC,Patrick Mahomes,QB,10,74,225,Texas Tech,29,6,49,387,665,4233,20,2,289.66,9,15,615,391,182,3824,4263,11,18
HOU,C.J. Stroud,QB,2,75,218,Ohio State,23,0,30,133,556,3652,23,3,287.14,10,18,518,311,165,3496,4098,5,21
NO,Derek Carr,QB,36,75,215,Fresno State,33,9,15,61,602,3717,24,1,282.54,11,19,589,368,158,3661,4083,7,23
JAX,Trevor Lawrence,QB,1,78,220,Clemson,25,2,53,354,667,3958,21,4,282.08,12,20,613,378,183,3667,4251,10,16
TB,Baker Mayfield,QB,1,73,215,Oklahoma,29,5,35,155,524,3195,23,1,253.06,13,29,487,289,160,2939,3853,6,21
CLE,Deshaun Watson,QB,12,75,223,Clemson,29,6,48,283,537,3372,21,3,252.9,14,30,483,282,155,3015,3816,11,18
LAC,Justin Herbert,QB,6,78,236,Oregon,26,3,47,276,504,3139,20,3,252.32,15,31,472,287,140,2868,3542,5,17
PIT,Justin Fields,QB,11,75,227,Ohio State,25,2,86,549,518,3023,16,3,223.9,16,49,422,234,131,2275,2939,6,12
LV,Gardner Minshew,QB,178,73,225,Washington State,28,4,37,228,522,2996,18,2,223.88,17,50,481,285,155,2827,3119,10,16
LA,Matthew Stafford,QB,1,75,214,Georgia,36,14,24,129,531,3267,19,1,222.98,18,53,501,296,154,3102,3271,8,16
PIT,Russell Wilson,QB,75,71,206,Wisconsin,36,11,57,340,507,3042,16,1,214.2,19,62,456,262,136,2705,3376,6,13
ARI,Kyler Murray,QB,1,70,207,Oklahoma,27,4,54,330,394,2430,14,4,197.96,20,71,348,206,108,2024,2526,6,12
CAR,Bryce Young,QB,1,70,204,Alabama,23,0,34,253,537,2632,14,1,188.74,21,79,496,273,169,2436,3619,6,12
SEA,Geno Smith,QB,39,75,221,West Virginia,34,10,21,112,419,2357,16,1,176.4,22,87,378,219,118,2230,2844,7,14
CIN,Joe Burrow,QB,1,76,215,LSU,28,3,22,110,429,2370,15,1,166.2,23,98,385,237,109,2230,2573,6,12
ATL,Kirk Cousins,QB,102,75,205,Michigan State,36,11,17,51,315,2037,12,2,147.06,24,117,287,178,78,1849,1801,5,11
TEN,Will Levis,QB,33,76,229,Kentucky,24,0,20,103,362,2038,11,1,141.54,25,119,341,178,113,1881,2332,5,10
MIN,Sam Darnold,QB,3,75,225,USC,26,5,20,98,288,1622,8,2,112.4,26,135,275,155,89,1465,1659,5,7
NYJ,Aaron Rodgers,QB,24,74,223,California,41,18,9,64,230,1409,8,0,102.88,27,141,207,129,61,1362,1560,3,8
IND,Anthony Richardson,QB,4,76,244,Florida,22,0,37,211,211,1263,6,3,99.1,28,143,172,94,60,1000,1143,2,4
NYG,Daniel Jones,QB,6,77,230,Duke,27,4,39,206,209,1001,6,1,75.32,29,154,165,93,49,818,1054,4,4
