team,player_name,position,draft_ovr,height,weight,college,age,seasons_played,rush_attempts,rushing_yards,touches,receptions,targets,receiving_yards,yards_after_catch,total_yards,total_tds,run_td,reception_td,fantasy_points_ppr,position_fantasy_rank,total_fantasy_rank
SF,Christian McCaffrey,RB,8,71,210,Stanford,28,6,260,1217,332,64,77,457,434,1820,16,12,5,333.4,1,6
NO,Alvin Kamara,RB,67,70,215,Tennessee,29,6,203,865,268,80,104,630,645,1405,9,6,4,289.5,2,16
NYJ,Breece Hall,RB,36,71,217,Iowa State,23,1,234,1020,302,72,88,530,558,1574,10,5,4,281.0,3,21
JAX,Travis Etienne,RB,25,70,215,Clemson,25,2,263,1053,312,58,73,472,512,1525,12,10,1,276.5,4,22
DET,Jahmyr Gibbs,RB,12,69,200,Alabama,21,0,189,960,237,50,64,289,301,1236,14,12,2,258.9,5,27
LA,Kyren Williams,RB,164,69,202,Notre Dame,24,1,222,1072,262,38,50,235,240,1297,12,11,2,246.7,6,33
BUF,James Cook,RB,63,71,190,Georgia,25,1,240,1121,283,46,60,462,406,1575,6,2,5,246.3,7,34
TB,Rachaad White,RB,91,72,214,Arizona State,24,1,240,918,294,64,78,498,519,1414,5,2,4,241.6,8,37
HOU,Joe Mixon,RB,48,73,220,Oklahoma,28,6,252,994,301,46,61,350,404,1347,8,6,3,234.4,9,38
BAL,Derrick Henry,RB,45,74,247,Alabama,30,7,263,1120,297,28,36,194,244,1356,13,12,0,231.4,10,39
PHI,Saquon Barkley,RB,2,72,233,Penn State,27,5,252,976,290,43,55,292,256,1267,10,8,2,229.8,11,43
MIA,Raheem Mostert,RB,263,70,205,Purdue,32,8,195,987,213,24,32,165,183,1142,13,12,3,229.2,12,44
ATL,Bijan Robinson,RB,8,71,215,Texas,22,0,188,853,242,55,72,454,468,1286,7,3,4,227.7,13,45
CHI,D'Andre Swift,RB,35,69,215,Georgia,24,3,214,937,258,43,54,294,314,1242,10,8,2,226.1,14,47
TEN,Tony Pollard,RB,128,72,209,Memphis,27,4,220,909,272,44,56,281,296,1224,8,8,0,211.0,15,64
KC,Isiah Pacheco,RB,251,70,216,Rutgers,25,1,214,976,253,43,53,264,352,1215,8,5,2,209.0,16,67
ARI,James Conner,RB,105,73,233,Pittsburgh,29,6,208,971,239,29,36,186,233,1144,10,7,2,198.7,17,70
SEA,Kenneth Walker,RB,41,69,211,Michigan State,24,1,209,890,245,37,48,294,344,1202,8,6,1,197.4,18,74
DET,David Montgomery,RB,73,71,224,Iowa State,27,4,216,896,248,28,38,160,166,1062,10,8,0,181.6,19,81
MIA,Devon Achane,RB,84,69,188,Texas A&M,22,0,133,758,161,26,34,188,189,999,10,7,3,180.6,20,83
GB,Josh Jacobs,RB,24,70,223,Alabama,26,4,223,744,265,40,51,278,289,1042,6,6,0,178.2,21,84
WAS,Austin Ekeler,RB,263,69,200,Western State,29,6,139,512,187,50,67,390,458,922,8,4,2,176.2,22,88
CAR,Chuba Hubbard,RB,126,73,210,Oklahoma State,24,2,226,824,264,38,50,251,288,1072,5,4,1,175.5,23,90
PIT,Jaylen Warren,RB,263,68,215,Oklahoma State,25,1,133,733,182,48,61,288,348,992,4,4,0,174.1,24,91
CLE,Jerome Ford,RB,156,70,210,Cincinnati,25,1,179,698,220,40,52,282,284,996,6,2,4,174.0,25,92
DEN,Javonte Williams,RB,35,70,220,North Carolina,24,2,216,796,264,42,54,248,312,1051,5,2,2,170.4,26,95
PIT,Najee Harris,RB,24,73,242,Alabama,26,2,203,832,236,30,39,184,196,984,7,6,0,167.6,27,97
CIN,Zack Moss,RB,86,70,215,Utah,26,3,191,744,214,32,41,230,224,938,6,4,2,165.4,28,99
NYG,Devin Singletary,RB,74,67,203,Florida Atlantic,26,4,212,917,245,30,38,184,198,1107,6,4,0,164.1,29,100
WAS,Brian Robinson,RB,98,73,228,Alabama,25,1,145,562,175,33,45,369,416,899,4,2,4,162.1,30,101
DAL,Ezekiel Elliott,RB,4,72,228,Ohio State,29,7,160,564,195,42,54,310,326,896,6,2,3,159.4,31,102
MIN,Aaron Jones,RB,182,69,208,UTEP,30,6,168,740,201,35,47,259,259,984,6,3,1,158.9,32,103
TEN,Tyjae Spears,RB,81,71,195,Tulane,22,0,99,446,152,50,67,367,424,830,4,2,2,155.3,33,107
IND,Jonathan Taylor,RB,41,70,226,Wisconsin,25,3,170,768,188,19,23,160,194,931,8,6,1,153.8,34,109
LAC,Gus Edwards,RB,263,73,238,Rutgers,29,5,195,844,205,14,17,180,147,1021,7,6,0,152.4,35,110
NE,Rhamondre Stevenson,RB,120,72,227,Oklahoma,26,2,173,706,204,30,38,190,206,900,5,4,1,149.6,36,115
LV,Zamir White,RB,122,72,215,Georgia,24,1,95,425,105,13,16,76,76,511,2,1,0,69.1,37,157
DAL,Rico Dowdle,RB,263,72,215,South Carolina,25,3,45,180,54,8,10,54,57,248,2,0,1,37.4,38,170
CLE,Nick Chubb,RB,35,71,227,Georgia,29,5,33,200,43,5,6,25,22,218,2,1,0,33.5,39,171
LAC,J.K. Dobbins,RB,55,70,215,Ohio State,25,3,9,36,12,2,2,6,4,39,1,0,0,6.2,40,175
