team,player_name,position,draft_ovr,height,weight,college,age,seasons_played,rush_attempts,rushing_yards,touches,receptions,targets,receiving_yards,yards_after_catch,total_yards,total_tds,run_td,reception_td,fantasy_points_ppr,position_fantasy_rank,total_fantasy_rank
DAL,CeeDee Lamb,WR,17,74,200,Oklahoma,25,3,12,91,137,128,177,1639,577,1794,11,1,11,373.0,1,2
MIA,Tyreek Hill,WR,165,70,191,West Alabama,29,7,6,24,123,119,163,1665,593,1720,13,0,13,365.9,2,4
DET,Amon-Ra St. Brown,WR,112,72,202,USC,25,2,4,18,126,121,163,1474,668,1539,10,0,9,324.2,3,8
PHI,A.J. Brown,WR,51,73,226,Mississippi,27,4,0,0,104,105,154,1422,468,1419,8,1,8,301.2,4,12
LA,Cooper Kupp,WR,69,74,207,Eastern Washington,31,6,1,-2,118,107,159,1290,497,1293,9,0,9,289.8,5,14
SF,Brandon Aiyuk,WR,25,72,200,Arizona State,26,3,1,5,89,90,125,1261,411,1301,11,1,11,288.6,6,17
HOU,Stefon Diggs,WR,146,72,191,Maryland,31,8,1,2,107,106,159,1162,406,1163,7,0,8,270.4,7,23
LA,Puka Nacua,WR,177,74,212,BYU,23,0,8,60,103,96,149,1348,471,1415,6,0,4,260.8,8,24
CIN,Ja'Marr Chase,WR,5,72,201,LSU,24,2,3,1,99,94,147,1240,540,1235,8,0,7,260.1,9,25
CHI,D.J. Moore,WR,24,71,210,Maryland,27,5,4,25,99,93,131,1277,489,1311,6,0,6,259.2,10,26
TB,Mike Evans,WR,7,77,231,Texas A&M,31,9,0,0,80,79,132,1173,299,1188,11,0,10,256.3,11,28
LV,Davante Adams,WR,53,73,215,Fresno State,32,9,0,0,101,98,162,1074,363,1069,8,0,7,247.4,12,32
SF,Deebo Samuel,WR,36,72,215,South Carolina,28,4,37,224,100,61,88,903,532,1107,10,6,6,245.7,13,35
IND,Michael Pittman,WR,34,76,223,USC,27,3,1,0,106,107,153,1113,509,1125,5,0,4,242.3,14,36
HOU,Nico Collins,WR,89,76,222,Michigan,25,2,1,1,73,73,106,1100,370,1120,7,0,8,231.1,15,40
MIA,Jaylen Waddle,WR,6,70,185,Alabama,25,2,2,8,79,78,110,1038,420,1039,6,2,6,230.6,16,41
CHI,Keenan Allen,WR,76,74,211,California,32,10,3,8,93,89,134,1079,334,1088,6,0,5,227.7,17,45
CLE,Amari Cooper,WR,4,73,211,Alabama,30,8,0,0,72,72,127,1172,259,1176,5,0,6,225.2,18,48
SEA,DK Metcalf,WR,64,76,235,Mississippi,27,4,0,0,67,66,112,1034,318,1031,8,0,9,223.4,19,52
PIT,George Pickens,WR,52,75,200,Georgia,23,1,3,10,75,73,111,1126,316,1154,5,1,5,222.6,20,54
MIN,Jordan Addison,WR,23,71,175,USC,21,0,0,0,71,70,113,917,240,928,9,0,10,221.7,21,55
TEN,Calvin Ridley,WR,26,73,190,Alabama,30,5,7,26,83,73,128,890,191,921,7,0,9,218.6,22,57
CAR,Adam Thielen,WR,263,74,195,Minnesota State-Mankato,34,9,2,8,100,96,133,1029,340,1045,5,0,3,217.7,23,58
TB,Chris Godwin,WR,84,73,209,Penn State,28,6,3,30,88,85,125,1037,374,1065,5,1,3,215.7,24,59
MIN,Justin Jefferson,WR,22,73,195,LSU,25,3,1,-3,70,68,102,1058,258,1057,7,1,6,215.5,25,60
LV,Jakobi Meyers,WR,263,74,200,North Carolina State,28,4,3,10,84,79,117,874,271,922,6,1,7,215.4,26,61
NO,Chris Olave,WR,11,72,187,Ohio State,24,1,0,0,87,85,133,1089,300,1084,5,0,3,211.9,27,63
KC,Rashee Rice,WR,55,73,204,SMU,23,0,1,-1,78,77,102,908,621,915,7,0,7,209.7,28,66
GB,Jayden Reed,WR,50,71,187,Michigan State,23,0,10,84,81,69,98,830,352,929,9,1,7,208.4,29,68
NYJ,Garrett Wilson,WR,10,72,183,Ohio State,24,1,3,-2,99,93,157,1002,361,1007,4,0,2,205.0,30,69
WAS,Terry McLaurin,WR,76,72,210,Ohio State,29,4,0,0,78,79,138,1009,352,1007,4,0,3,197.9,31,72
BAL,Zay Flowers,WR,22,69,175,Boston College,23,0,7,46,87,78,105,849,374,898,6,2,3,197.5,32,73
HOU,Tank Dell,WR,69,70,165,Houston,24,0,9,42,74,63,86,875,170,944,8,0,7,196.7,33,75
TEN,DeAndre Hopkins,WR,27,73,212,Clemson,32,10,3,17,78,75,122,925,288,940,7,0,4,193.2,34,77
DEN,Courtland Sutton,WR,40,76,216,SMU,29,5,0,0,60,59,85,781,183,779,7,0,8,185.1,35,80
PHI,DeVonta Smith,WR,10,72,170,Alabama,26,2,0,0,69,67,102,903,293,921,6,0,4,181.3,36,82
SEA,Tyler Lockett,WR,69,70,182,Kansas State,32,8,0,1,79,76,113,944,288,949,5,0,1,176.5,37,86
GB,Christian Watson,WR,34,76,208,North Dakota State,25,1,6,15,52,47,79,672,202,708,7,1,9,175.7,38,89
ATL,Drake London,WR,8,76,213,USC,23,1,0,0,69,67,105,820,189,826,3,0,4,173.0,39,93
NO,Rashid Shaheed,WR,263,72,180,Weber State,26,1,7,38,55,47,72,698,156,744,8,1,7,168.6,40,96
GB,Romeo Doubs,WR,132,74,204,Nevada,24,1,0,0,62,62,94,663,136,671,6,0,5,158.3,41,104
JAX,Gabe Davis,WR,128,74,210,UCF,25,3,0,0,48,47,91,799,123,803,6,0,5,156.9,42,106
PHI,Jahan Dotson,WR,16,71,182,Penn State,24,1,0,-1,52,52,88,611,215,613,7,0,7,155.0,43,108
CAR,Diontae Johnson,WR,66,70,183,Toledo,28,4,1,1,59,57,97,710,271,709,4,0,4,152.1,44,111
DAL,Brandin Cooks,WR,20,70,189,Oregon State,31,9,5,38,61,54,78,641,127,665,6,0,5,151.9,45,112
JAX,Christian Kirk,WR,47,71,200,Texas A&M,28,5,1,12,59,58,87,746,240,782,3,0,3,151.8,46,113
TEN,Tyler Boyd,WR,55,74,203,Pittsburgh,30,7,1,5,69,68,101,706,291,714,3,0,2,151.1,47,114
CLE,Jerry Jeudy,WR,15,73,195,Alabama,25,3,0,0,55,55,93,796,307,793,3,0,2,146.6,48,118
CIN,Tee Higgins,WR,33,76,219,Clemson,25,3,0,0,48,48,79,628,200,631,4,0,5,140.8,49,121
KC,Marquise Brown,WR,25,69,180,Oklahoma,27,4,3,24,58,55,103,616,171,627,4,0,3,137.0,50,123
SEA,Jaxon Smith-Njigba,WR,20,72,197,Ohio State,21,0,0,0,62,60,89,628,367,630,3,0,2,134.8,51,126
NE,Kendrick Bourne,WR,263,73,205,Eastern Washington,28,6,2,7,50,49,74,596,226,609,5,0,4,133.3,52,127
BUF,Curtis Samuel,WR,40,71,195,Ohio State,28,6,8,45,71,55,85,604,192,713,5,0,1,125.9,53,128
NE,Demario Douglas,WR,210,68,192,Liberty,23,0,8,41,59,51,77,539,320,599,2,0,1,115.0,54,134
ARI,Michael Wilson,WR,94,74,213,Stanford,24,0,0,0,40,38,56,523,140,515,4,0,3,108.3,55,138
BAL,Russell Gage,WR,194,72,184,LSU,27,4,0,0,51,49,72,438,169,440,3,0,2,104.8,56,139
ATL,Darnell Mooney,WR,173,71,177,Tulane,27,3,4,22,44,39,68,453,178,484,2,1,2,104.5,57,140
LAC,Josh Palmer,WR,77,73,210,Tennessee,25,2,1,6,38,36,57,465,144,466,2,0,3,101.1,58,142
BAL,Nelson Agholor,WR,20,72,200,USC,30,8,0,0,34,33,49,398,133,400,4,0,4,96.8,59,144
LAC,D.J. Chark,WR,61,75,200,LSU,28,5,0,0,34,32,65,486,78,487,4,0,2,92.6,60,146
IND,Alec Pierce,WR,53,75,211,Cincinnati,24,1,0,0,30,34,68,515,143,515,2,0,1,91.5,61,147
BAL,Rashod Bateman,WR,27,73,195,Minnesota,24,2,1,15,37,36,60,448,101,466,1,0,1,88.3,62,149
LAC,Quentin Johnston,WR,21,76,215,TCU,23,0,2,5,39,36,66,399,136,405,2,0,0,76.4,63,152
DET,Jameson Williams,WR,12,73,180,Alabama,22,1,4,33,28,24,43,358,107,388,3,1,1,75.1,64,155
ARI,Zay Jones,WR,37,74,200,East Carolina,29,6,0,0,35,35,62,319,64,321,2,0,1,72.9,65,156
DEN,Marvin Mims,WR,63,71,182,Oklahoma,22,0,5,20,30,24,35,364,142,382,1,0,1,68.4,66,159
CAR,Jonathan Mingo,WR,39,74,220,Ole Miss,23,0,0,0,36,34,67,328,114,327,1,0,0,66.8,67,160
ARI,Greg Dortch,WR,263,67,175,Wake Forest,26,4,3,13,31,26,37,253,109,276,2,0,2,64.6,68,161
NYJ,Mike Williams,WR,7,76,218,Clemson,30,6,1,6,22,20,30,283,93,287,2,1,1,60.9,69,162
NYG,Isaiah Hodgins,WR,207,75,200,Oregon State,26,3,0,0,20,20,30,204,67,202,3,0,2,52.4,70,165
TEN,Treylon Burks,WR,18,74,225,Arkansas,24,1,6,19,23,19,37,247,91,275,0,0,0,45.6,71,168
