team,player_name,position,draft_ovr,height,weight,college,age,seasons_played,rush_attempts,rushing_yards,touches,receptions,targets,receiving_yards,yards_after_catch,total_yards,total_tds,run_td,reception_td,fantasy_points_ppr,position_fantasy_rank,total_fantasy_rank
KC,Travis Kelce,TE,63,77,250,Cincinnati,35,10,0,0,87,92,129,1022,477,1114,6,0,6,230.2,1,42
SF,George Kittle,TE,146,76,250,Iowa,31,6,0,0,78,76,107,1058,504,1119,7,0,7,223.8,2,51
DET,Sam LaPorta,TE,34,75,245,Iowa,23,0,0,0,83,82,125,891,398,888,8,0,8,219.1,3,56
MIN,T.J. Hockenson,TE,8,77,248,Iowa,27,4,0,0,91,87,124,937,395,917,5,0,5,210.7,4,65
JAX,Evan Engram,TE,23,75,240,Mississippi,30,6,0,0,93,88,124,877,416,896,3,0,3,193.7,5,76
ARI,Trey McBride,TE,55,76,246,Colorado State,25,1,0,0,82,81,116,857,387,864,4,0,4,190.7,6,78
DAL,Jake Ferguson,TE,129,77,244,Wisconsin,25,1,0,0,72,72,105,756,317,750,5,0,5,177.6,7,85
CHI,Cole Kmet,TE,43,78,260,Notre Dame,25,3,0,0,73,73,109,750,334,731,5,0,4,172.0,8,94
CLE,David Njoku,TE,29,76,246,Miami,28,6,0,0,62,63,91,642,311,627,5,0,5,157.2,9,105
PHI,Dallas Goedert,TE,49,77,256,South Dakota State,29,5,0,0,61,59,86,643,300,646,5,0,4,147.3,10,116
HOU,Dalton Schultz,TE,137,77,242,Stanford,28,5,0,0,59,57,86,605,251,595,5,0,4,141.5,11,120
BUF,Dalton Kincaid,TE,25,76,240,Utah,24,0,0,0,63,64,97,629,293,635,3,0,2,138.9,12,122
NYJ,Tyler Conklin,TE,157,75,248,Central Michigan,29,5,0,0,64,63,97,669,270,663,2,0,1,135.9,13,124
BAL,Mark Andrews,TE,86,77,250,Oklahoma,28,5,0,0,46,42,66,635,235,675,6,0,5,135.5,14,125
MIA,Jonnu Smith,TE,100,75,248,Florida International,29,6,0,0,50,47,72,541,288,557,4,0,4,125.1,15,129
ATL,Kyle Pitts,TE,4,78,246,Florida,24,2,0,0,50,50,74,594,198,626,2,0,2,121.4,16,130
TEN,Chigoziem Okonkwo,TE,143,75,238,Maryland,25,1,0,0,58,56,86,584,243,617,2,0,1,120.4,17,131
TB,Cade Otton,TE,106,77,247,Washington,25,1,0,0,49,49,74,468,222,460,4,0,4,119.8,18,132
LA,Tyler Higbee,TE,110,78,255,Western Kentucky,31,7,0,0,49,49,75,515,262,516,4,0,3,118.5,19,133
NE,Hunter Henry,TE,35,77,249,Arkansas,30,7,0,0,41,41,61,414,159,419,5,0,5,112.4,20,135
SF,Logan Thomas,TE,120,78,250,Virginia Tech,33,9,0,0,50,48,73,438,213,443,4,0,3,109.8,21,137
NO,Juwan Johnson,TE,263,76,231,Oregon,28,3,0,0,38,36,53,343,137,336,4,0,4,94.3,22,145
SEA,Noah Fant,TE,20,76,249,Iowa,26,4,0,0,40,39,57,461,210,452,1,0,1,91.1,23,148
CIN,Mike Gesicki,TE,42,78,252,Penn State,28,5,0,0,40,39,57,335,144,314,2,0,2,84.5,24,150
PIT,Pat Freiermuth,TE,55,77,258,Penn State,26,2,0,0,31,31,44,286,128,304,3,0,3,77.6,25,151
GB,Luke Musgrave,TE,42,78,253,Oregon State,24,0,0,0,34,34,50,356,162,355,1,0,1,75.6,26,153
NYG,Daniel Bellinger,TE,112,78,255,San Diego State,23,1,0,0,32,30,46,330,150,388,2,0,1,69.0,27,158
DEN,Adam Trautman,TE,105,77,253,Dayton,27,3,0,0,24,24,35,213,96,212,3,0,2,57.3,28,163
WAS,Zach Ertz,TE,35,77,250,Stanford,34,10,0,0,29,29,41,220,104,262,1,0,1,57.0,29,164
BUF,Dawson Knox,TE,96,76,254,Ole Miss,28,4,0,0,22,20,32,186,90,179,2,0,2,50.6,30,166
LAC,Hayden Hurst,TE,25,76,245,South Carolina,31,5,0,0,21,23,33,213,99,211,2,0,1,50.3,31,167
LAC,Will Dissly,TE,120,76,265,Washington,28,5,0,0,17,16,22,161,84,155,1,0,1,38.1,32,169
IND,Mo Alie-Cox,TE,263,77,267,Virginia Commonwealth,31,6,0,0,14,13,18,130,62,127,2,0,1,32.0,33,172
JAX,Luke Farrell,TE,145,77,250,Ohio State,27,2,0,0,15,15,21,165,85,162,0,0,0,31.5,34,173
CAR,Ian Thomas,TE,101,76,260,Indiana,28,5,0,0,7,7,10,53,26,47,1,0,0,12.3,35,174
DEN,Greg Dulcich,TE,80,76,245,UCLA,23,1,0,0,3,2,2,19,8,35,0,0,0,3.9,36,176
